ID	strain	type	timepoint	replicate	strain_type_timepoint	strain_type
F3_01_T1_16S	F003	anemone	t1	1	F003_anemone_t1	F003_anemone
F3_02_T1_16S	F003	anemone	t1	2	F003_anemone_t1	F003_anemone
F3_03_T1_16S	F003	anemone	t1	3	F003_anemone_t1	F003_anemone
F3_04_T1_16S	F003	anemone	t1	4	F003_anemone_t1	F003_anemone
F3_05_T1_16S	F003	anemone	t1	5	F003_anemone_t1	F003_anemone
F3_06_T1_16S	F003	anemone	t1	6	F003_anemone_t1	F003_anemone
F3_07_T1_16S	F003	anemone	t1	7	F003_anemone_t1	F003_anemone
F3_08_T1_16S	F003	anemone	t1	8	F003_anemone_t1	F003_anemone
F3_09_T1_16S	F003	anemone	t1	9	F003_anemone_t1	F003_anemone
F3_10_T1_16S	F003	anemone	t1	10	F003_anemone_t1	F003_anemone
F3_SW_T1_16S	F003	seawater	t1	1	F003_seawater_t1	F003_seawater
H2_01_T1_16S	H2	anemone	t1	1	H2_anemone_t1	H2_anemone
H2_02_T1_16S	H2	anemone	t1	2	H2_anemone_t1	H2_anemone
H2_03_T1_16S	H2	anemone	t1	3	H2_anemone_t1	H2_anemone
H2_04_T1_16S	H2	anemone	t1	4	H2_anemone_t1	H2_anemone
H2_05_T1_16S	H2	anemone	t1	5	H2_anemone_t1	H2_anemone
H2_06_T1_16S	H2	anemone	t1	6	H2_anemone_t1	H2_anemone
H2_07_T1_16S	H2	anemone	t1	7	H2_anemone_t1	H2_anemone
H2_08_T1_16S	H2	anemone	t1	8	H2_anemone_t1	H2_anemone
H2_09_T1_16S	H2	anemone	t1	9	H2_anemone_t1	H2_anemone
H2_10_T1_16S	H2	anemone	t1	10	H2_anemone_t1	H2_anemone
H2_SW_T1_16S	H2	seawater	t1	1	H2_seawater_t1	H2_seawater
F3_01_T2_16S	F003	anemone	t2	1	F003_anemone_t2	F003_anemone
F3_02_T2_16S	F003	anemone	t2	2	F003_anemone_t2	F003_anemone
F3_03_T2_16S	F003	anemone	t2	3	F003_anemone_t2	F003_anemone
F3_04_T2_16S	F003	anemone	t2	4	F003_anemone_t2	F003_anemone
F3_05_T2_16S	F003	anemone	t2	5	F003_anemone_t2	F003_anemone
F3_06_T2_16S	F003	anemone	t2	6	F003_anemone_t2	F003_anemone
F3_07_T2_16S	F003	anemone	t2	7	F003_anemone_t2	F003_anemone
F3_08_T2_16S	F003	anemone	t2	8	F003_anemone_t2	F003_anemone
F3_09_T2_16S	F003	anemone	t2	9	F003_anemone_t2	F003_anemone
F3_10_T2_16S	F003	anemone	t2	10	F003_anemone_t2	F003_anemone
F3_SW_T2_16S	F003	seawater	t2	1	F003_seawater_t2	F003_seawater
H2_01_T2_16S	H2	anemone	t2	1	H2_anemone_t2	H2_anemone
H2_02_T2_16S	H2	anemone	t2	2	H2_anemone_t2	H2_anemone
H2_03_T2_16S	H2	anemone	t2	3	H2_anemone_t2	H2_anemone
H2_04_T2_16S	H2	anemone	t2	4	H2_anemone_t2	H2_anemone
H2_05_T2_16S	H2	anemone	t2	5	H2_anemone_t2	H2_anemone
H2_06_T2_16S	H2	anemone	t2	6	H2_anemone_t2	H2_anemone
H2_07_T2_16S	H2	anemone	t2	7	H2_anemone_t2	H2_anemone
H2_08_T2_16S	H2	anemone	t2	8	H2_anemone_t2	H2_anemone
H2_09_T2_16S	H2	anemone	t2	9	H2_anemone_t2	H2_anemone
H2_10_T2_16S	H2	anemone	t2	10	H2_anemone_t2	H2_anemone
H2_SW_T2_16S	H2	seawater	t2	1	H2_seawater_t2	H2_seawater
